BusinessName,FullAddress,StreetAddress,City,State,Zip,PlusCode,Website,Phone,LatLong,Category,Hours,IsClaimed,Rating,ReviewCount,Amenities,NumberOfPhotos,ImageURL,URL
PT Sindorim Surya Sejahtera (APL Tower Central Park),"RT.9/RW.5, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470               Terletak di: Apl tower","RT.9/RW.5, Tj. Duren Utara, Kec. Grogol petamburan",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11470               Terletak di: Apl tower,RQFR+CP,,0811-8333-083,"-6.1764047, 106.7918181",Kantor Perusahaan,"Selasa Buka 24 jam,Rabu Buka 24 jam,Kamis Buka 24 jam,Jumat Buka 24 jam,Sabtu Buka 24 jam,Minggu Buka 24 jam,Senin Buka 24 jam. Sembunyikan jam buka untuk seminggu",Y,"4,5",207,,242,https://lh5.googleusercontent.com/p/AF1QipN2Ge_P9KKjoWm1JO7ZQ740ftXcCb1F3OPzBBhe=w408-h306-k-no,"https://www.google.com/maps/place/PT+Sindorim+Surya+Sejahtera+(APL+Tower+Central+Park)/@-6.1757246,106.7887185,17z/data=!3m1!5s0x2e69f65f7d4dbbd1:0xa8d96911b7c248b8!4m8!1m2!2m1!1sperus+ahaan+di+dekat+apl+tower+jakarta+barat!3m4!1s0x2e69f65f9c01ae27:0x4cd76a2ba246c629!8m2!3d-6.1764047!4d106.7918181"
PT Luhur Bangun Perkasa,"APL Tower, 11st Floor, Unit T7, Tj. Duren Sel.,, RT.3/RW.5, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470","APL Tower, 11st Floor, Unit T7, Tj. Duren Sel.,, RT.3/RW.5, Tj. Duren Sel., Kec. Grogol petamburan",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11470,RQFR+W2,,(021) 29034436,"-6.1751258, 106.7900132",Kantor Perusahaan,"Selasa 09.00–18.00,Rabu 09.00–18.00,Kamis 09.00–18.00,Jumat 09.00–18.00,Sabtu Tutup,Minggu Tutup,Senin 09.00–18.00. Sembunyikan jam buka untuk seminggu",N,"1,0",1,,0,https://geo0.ggpht.com/cbk?panoid=LS5Vd3Zjl8rm1Mc8L7LAHw&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=408&h=240&yaw=34.24137&pitch=0&thumbfov=100,"https://www.google.com/maps/place/PT+Luhur+Bangun+Perkasa/@-6.1757246,106.7887185,17z/data=!4m8!1m2!2m1!1sperus+ahaan+di+dekat+apl+tower+jakarta+barat!3m4!1s0x2e69f65f1e547cf3:0x3cbd8212186e0fad!8m2!3d-6.1751258!4d106.7900132"
Vizrt Indonesia,"APL Tower, RT.3/RW.5, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470","APL Tower, RT.3/RW.5, Tj. Duren Sel., Kec. Grogol petamburan",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11470,RQFR+W2,vizrt.com,(021) 29034333,"-6.1751258, 106.7900132",Kantor Perusahaan,"Selasa 10.00–18.00,Rabu 10.00–18.00,Kamis 10.00–18.00,Jumat 10.00–18.00,Sabtu Tutup,Minggu Tutup,Senin 10.00–18.00. Sembunyikan jam buka untuk seminggu",N,"5,0",1,,2,https://geo0.ggpht.com/cbk?panoid=LS5Vd3Zjl8rm1Mc8L7LAHw&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=408&h=240&yaw=34.24137&pitch=0&thumbfov=100,"https://www.google.com/maps/place/Vizrt+Indonesia/@-6.1757246,106.7887185,17z/data=!4m8!1m2!2m1!1sperus+ahaan+di+dekat+apl+tower+jakarta+barat!3m4!1s0x2e69f65f1e547cf3:0xcf6d5fc7af1994b9!8m2!3d-6.1751258!4d106.7900132"
Property Academy,"APL Tower Central Park Lt. 38, Jl. Letjen. S. Parman Kav. 28 Jakarta 11470, RT.3/RW.5, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470","APL Tower Central Park Lt. 38, Jl. Letjen. S. Parman Kav. 28 Jakarta 11470, RT.3/RW.5, Tj. Duren Sel., Kec. Grogol petamburan",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11470,RQFQ+XX,propertyacademy.id,,"-6.1750213, 106.7899963",,,N,,,,0,https://geo0.ggpht.com/cbk?panoid=Ok7jAOylKjMhnx1vWFuexw&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=408&h=240&yaw=37.946682&pitch=0&thumbfov=100,"https://www.google.com/maps/place/Property+Academy/@-6.1757246,106.7887185,17z/data=!4m8!1m2!2m1!1sperus+ahaan+di+dekat+apl+tower+jakarta+barat!3m4!1s0x2e69f65f1fd2bc77:0xc014469fee0187ad!8m2!3d-6.1750213!4d106.7899963"
Distrik 41 Prudential GA Office,"Mal Central Park, APL Tower, South Tanjung Duren, Grogol petamburan, West Jakarta City, Jakarta 11470","Mal Central Park, APL Tower, South Tanjung Duren, Grogol petamburan",West Jakarta City,Jakarta,11470,RQFR+W2,,(021) 29339235,"-6.1751258, 106.7900132",,,N,,,,2,https://lh5.googleusercontent.com/p/AF1QipMRC-kGvlQ88lrUdEzyBIVvRA55Dn6TR3KWS5KP=w426-h240-k-no,"https://www.google.com/maps/place/Distrik+41+Prudential+GA+Office/@-6.1757246,106.7887185,17z/data=!4m8!1m2!2m1!1sperus+ahaan+di+dekat+apl+tower+jakarta+barat!3m4!1s0x2e69f79b0eec0c15:0xf9b9de527a3804af!8m2!3d-6.1751258!4d106.7900132"
PT. Bintang Graha Semesta,"APL Tower, RT.3, RT.3/RW.5, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470","APL Tower, RT.3, RT.3/RW.5, Tj. Duren Sel., Kec. Grogol petamburan",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11470,RQFR+W2,,(021) 39516619,"-6.1751258, 106.7900132",Kantor Perusahaan,"Selasa 08.30–17.30,Rabu 08.30–17.30,Kamis 08.30–17.30,Jumat 08.30–17.30,Sabtu Tutup,Minggu Tutup,Senin 08.30–17.30. Sembunyikan jam buka untuk seminggu",N,"5,0",2,,2,https://lh5.googleusercontent.com/p/AF1QipNmJGf9tDmXa7Q23b4YKhVP4vRfsHPjBB5x2oq-=w408-h285-k-no,"https://www.google.com/maps/place/PT.+Bintang+Graha+Semesta/@-6.1757246,106.7887185,17z/data=!4m8!1m2!2m1!1sperus+ahaan+di+dekat+apl+tower+jakarta+barat!3m4!1s0x2e69f7d05606a367:0x18104d6a856110b6!8m2!3d-6.1751258!4d106.7900132"
Salva Teknologi Digital,"APL Tower Lantai 25 Jalan Letjend. S. Parman, Selatan No.RT.03, RT.3/RW.5, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 10750","APL Tower Lantai 25 Jalan Letjend. S. Parman, Selatan No.RT.03, RT.3/RW.5, Tj. Duren Sel., Kec. Grogol petamburan",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,10750,RQFR+X3,salva.id,0821-2288-3722,"-6.1750337, 106.7901453",,"Selasa 09.00–18.00,Rabu 09.00–18.00,Kamis 09.00–18.00,Jumat 09.00–18.00,Sabtu Tutup,Minggu Tutup,Senin 09.00–18.00. Sembunyikan jam buka untuk seminggu",N,,,,0,https://geo0.ggpht.com/cbk?panoid=_cAn3leN3Wp7CfzXrEQ7WQ&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=408&h=240&yaw=233.47162&pitch=0&thumbfov=100,"https://www.google.com/maps/place/Salva+Teknologi+Digital/@-6.1757246,106.7887185,17z/data=!4m8!1m2!2m1!1sperus+ahaan+di+dekat+apl+tower+jakarta+barat!3m4!1s0x2e69f5ef00000001:0xb4a047264414430c!8m2!3d-6.1750337!4d106.7901453"
Lobby APL Tower,"3, RT.3/RW.5, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470","3, RT.3/RW.5, Tj. Duren Sel., Kec. Grogol petamburan",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11470,RQFR+X2,,,"-6.1751218, 106.7900238",,,N,,,,0,https://geo0.ggpht.com/cbk?panoid=LS5Vd3Zjl8rm1Mc8L7LAHw&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=408&h=240&yaw=35.10765&pitch=0&thumbfov=100,"https://www.google.com/maps/place/Lobby+APL+Tower/@-6.1757246,106.7887185,17z/data=!4m8!1m2!2m1!1sperus+ahaan+di+dekat+apl+tower+jakarta+barat!3m4!1s0x2e69f7ca981b9501:0x8807b249419e1fc2!8m2!3d-6.1751218!4d106.7900238"
PT Cashlez Worldwide Indonesia,"Garden shopping Avenue B/08/BA. Central Park. Podomoro city, RT.9/RW.5, Tanjung Duren Selatan, Grogol petamburan, RT.15/RW.5, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470","Garden shopping Avenue B/08/BA. Central Park. Podomoro city, RT.9/RW.5, Tanjung Duren Selatan, Grogol petamburan, RT.15/RW.5, Tj. Duren Sel., Kec. Grogol petamburan",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11470,RQFR+J3,cashlez.com,(021) 29860750,"-6.175977, 106.790231",Kantor Perusahaan,"Selasa 08.30–17.30,Rabu 08.30–17.30,Kamis 08.30–17.30,Jumat 08.30–17.30,Sabtu Tutup,Minggu Tutup,Senin 08.30–17.30. Sembunyikan jam buka untuk seminggu",Y,"4,6",11,,14,https://lh5.googleusercontent.com/p/AF1QipPWq01TG6dYT9aFPsQhmklSMIpw30bET5PRfy-F=w408-h272-k-no,"https://www.google.com/maps/place/PT+Cashlez+Worldwide+Indonesia/@-6.1757246,106.7887185,17z/data=!4m8!1m2!2m1!1sperus+ahaan+di+dekat+apl+tower+jakarta+barat!3m4!1s0x2e69f65fa2009d17:0x31a2512263523b7e!8m2!3d-6.175977!4d106.790231"
Jaya Pratama Logistik,"APL Tower - Cetral Park, Jl. Jelambar Barat No.28, RT.10/RW.9, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470               Terletak di: Apl Tower Central Park Mall","APL Tower - Cetral Park, Jl. Jelambar Barat No.28, RT.10/RW.9, Tomang, Kec. Grogol petamburan",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11470               Terletak di: Apl Tower Central Park Mall,RQFR+CG,,(021) 22125781,"-6.176412, 106.7912504",,"Selasa 08.00–17.00,Rabu 08.00–17.00,Kamis 08.00–17.00,Jumat 08.00–17.00,Sabtu Tutup,Minggu Tutup,Senin 08.00–17.00. Sembunyikan jam buka untuk seminggu",Y,,,,,https://lh5.googleusercontent.com/p/AF1QipMWYYAGJEyAynnv9gfDOeTnEJaeQJ_RStDMRiS-=w408-h306-k-no,"https://www.google.com/maps/place/Jaya+Pratama+Logistik/@-6.1757246,106.7887185,17z/data=!4m8!1m2!2m1!1sperus+ahaan+di+dekat+apl+tower+jakarta+barat!3m4!1s0x2e69f7209e0df92b:0xce79e969a9afa447!8m2!3d-6.176412!4d106.7912504"
