BusinessName,FullAddress,StreetAddress,City,State,Zip,PlusCode,Website,Phone,LatLong,Category,Hours,IsClaimed,Rating,ReviewCount,Amenities,NumberOfPhotos,ImageURL,URL
Samchem/Blue Green Office SBI,"no, Jl. Lkr. Luar Barat No.86, RT.6/RW.1, Kembangan Utara, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610","no, Jl. Lkr. Luar Barat No.86, RT.6/RW.1, Kembangan Utara, Kec. Kembangan",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11610,RPFH+5H,,(021) 56391001,"-6.177056, 106.728944",Kantor Perusahaan,"Selasa 08.00–17.00,Rabu 08.00–17.00,Kamis 08.00–17.00,Jumat 08.00–17.00,Sabtu Tutup,Minggu Tutup,Senin 08.00–17.00. Sembunyikan jam buka untuk seminggu",N,"4,1",168,,246,https://lh5.googleusercontent.com/p/AF1QipNnLW3WS1iM4Ai7Nz-SAUXzJPGOXFkHU2AR8_0Z=w408-h371-k-no,"https://www.google.com/maps/place/Samchem%2FBlue+Green+Office+SBI/@-6.1767703,106.7266759,17z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+Blue+Green+Office+Tower+jakarta+barat!3m4!1s0x2e69f781823b37df:0xbe81291cb029a6d7!8m2!3d-6.177056!4d106.728944"
PT. Azelis Indonesia Distribusi,"Bluegreen - Integrated Boutique Office. Lantai 8, Unit A-Blue, Jl. Tol Lkr. Luar Bar. No.88, RT.6/RW.1, Duri Kosambi, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11750","Bluegreen - Integrated Boutique Office. Lantai 8, Unit A-Blue, Jl. Tol Lkr. Luar Bar. No.88, RT.6/RW.1, Duri Kosambi, Kec. Kembangan",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11750,RPFH+CH,azelis.com,(021) 29527188,"-6.1764846, 106.728892",Kantor Perusahaan,"Selasa 09.00–17.00,Rabu 09.00–17.00,Kamis 09.00–17.00,Jumat 09.00–17.00,Sabtu Tutup,Minggu Tutup,Senin 09.00–17.00. Sembunyikan jam buka untuk seminggu",N,"3,7",3,,4,https://lh5.googleusercontent.com/p/AF1QipNn6Pg_jrahSlm-xWnuwUWkZbRwQbWAQMo6xXcT=w408-h306-k-no,"https://www.google.com/maps/place/PT.+Azelis+Indonesia+Distribusi/@-6.1767703,106.7266759,17z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+Blue+Green+Office+Tower+jakarta+barat!3m4!1s0x2e69f78b2dd7d10f:0x6aaefa9b7279242b!8m2!3d-6.1764846!4d106.728892"
PT. Krones Machinery Indonesia,"The Bluegreen-Boutique Office Tower D-Blue, Lt. 6, Suite DB-6, Jl. Lkr. Luar Barat Jl. Kembangan Raya No.88, RT.6/RW.1, Kembangan Utara, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610","The Bluegreen-Boutique Office Tower D-Blue, Lt. 6, Suite DB-6, Jl. Lkr. Luar Barat Jl. Kembangan Raya No.88, RT.6/RW.1, Kembangan Utara, Kec. Kembangan",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11610,RPFH+6G,krones.com,(021) 29527262,"-6.1768965, 106.7287852",Kantor Perusahaan,"Selasa 08.00–18.00,Rabu 08.00–18.00,Kamis 08.00–18.00,Jumat 08.00–18.00,Sabtu Tutup,Minggu Tutup,Senin 08.00–18.00. Sembunyikan jam buka untuk seminggu",Y,"4,8",6,,0,https://geo3.ggpht.com/cbk?panoid=vEuG6whnnD2K3igqFrHKzA&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=408&h=240&yaw=92.373116&pitch=0&thumbfov=100,"https://www.google.com/maps/place/PT.+Krones+Machinery+Indonesia/@-6.1767703,106.7266759,17z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+Blue+Green+Office+Tower+jakarta+barat!3m4!1s0x2e6a1d92075797f5:0x54cd52b8fcc25dff!8m2!3d-6.1768965!4d106.7287852"
Puri Matahari,"Jl. Lkr. Luar Barat No.9, RT.4/RW.1, Kembangan Utara, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610","Jl. Lkr. Luar Barat No.9, RT.4/RW.1, Kembangan Utara, Kec. Kembangan",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11610,RP8J+G2,,(021) 80661917,"-6.1836364, 106.7301129",Kantor Perusahaan,,N,"4,4",157,,94,https://lh5.googleusercontent.com/p/AF1QipMeHZxDxQT2os8CXggjVhq1cKEWXcSGJkopaohB=w408-h408-k-no,"https://www.google.com/maps/place/Puri+Matahari/@-6.2087449,106.7142637,11z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+Blue+Green+Office+Tower+jakarta+barat!3m4!1s0x2e69f779478e8331:0x87195198fe610856!8m2!3d-6.1836364!4d106.7301129"
Puri Indah Financial Tower,"Jl. Puri Lkr. Dalam Jl. Puri Indah Raya Blok T No.8, RT.1/RW.2, Kembangan Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610","Jl. Puri Lkr. Dalam Jl. Puri Indah Raya Blok T No.8, RT.1/RW.2, Kembangan Sel., Kec. Kembangan",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11610,RP6P+HJ,pift.co.id,(021) 29603999,"-6.1885582, 106.7365535",Kantor Perusahaan,"Selasa 08.30–22.00,Rabu 08.30–22.00,Kamis 08.30–22.00,Jumat 08.30–22.00,Sabtu 08.30–22.00,Minggu 08.30–22.00,Senin 08.30–22.00. Sembunyikan jam buka untuk seminggu",Y,"4,4",489,,460,https://lh5.googleusercontent.com/p/AF1QipMxOMZ1V8sanvNidGZ5ycPiUFCAyPHg8RGKwFni=w408-h612-k-no,"https://www.google.com/maps/place/Puri+Indah+Financial+Tower/@-6.2087449,106.7142637,11z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+Blue+Green+Office+Tower+jakarta+barat!3m4!1s0x2e69f770167bf84b:0x6b40d6f568c024fa!8m2!3d-6.1885582!4d106.7365535"
Samchem Prasandha. PT,"The Blugreen Boutique Office Tower A-Blue Lantai 2 Unit AB-02, Jl. Lkr. Luar Barat, RT.6/RW.1, North Kembangan, Kembangan, West Jakarta City, Jakarta 11610","The Blugreen Boutique Office Tower A-Blue Lantai 2 Unit AB-02, Jl. Lkr. Luar Barat, RT.6/RW.1, North Kembangan, Kembangan",West Jakarta City,Jakarta,11610,RPFH+6P,samchemprasandha.com,(021) 29527291,"-6.1769076, 106.7292595",,"Selasa 08.00–17.00,Rabu 08.00–17.00,Kamis 08.00–17.00,Jumat 08.00–17.00,Sabtu Tutup,Minggu Tutup,Senin 08.00–17.00. Sembunyikan jam buka untuk seminggu",N,,,,0,https://geo3.ggpht.com/cbk?panoid=XPQgUdVvJJeqOW8B3a0Hzw&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=408&h=240&yaw=81.45866&pitch=0&thumbfov=100,"https://www.google.com/maps/place/Samchem+Prasandha.+PT/@-6.2087449,106.7142637,11z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+Blue+Green+Office+Tower+jakarta+barat!3m4!1s0x2e6a1d523a146b9b:0xf3f98fbfdec0741b!8m2!3d-6.1769076!4d106.7292595"
PT Sindorim Surya Sejahtera (APL Tower Central Park),"RT.9/RW.5, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470               Terletak di: Apl tower","RT.9/RW.5, Tj. Duren Utara, Kec. Grogol petamburan",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11470               Terletak di: Apl tower,RQFR+CP,,0811-8333-083,"-6.1764047, 106.7918181",Kantor Perusahaan,"Selasa Buka 24 jam,Rabu Buka 24 jam,Kamis Buka 24 jam,Jumat Buka 24 jam,Sabtu Buka 24 jam,Minggu Buka 24 jam,Senin Buka 24 jam. Sembunyikan jam buka untuk seminggu",Y,"4,5",207,,242,https://lh5.googleusercontent.com/p/AF1QipN2Ge_P9KKjoWm1JO7ZQ740ftXcCb1F3OPzBBhe=w408-h306-k-no,"https://www.google.com/maps/place/PT+Sindorim+Surya+Sejahtera+(APL+Tower+Central+Park)/@-6.2087449,106.7142637,11z/data=!3m1!5s0x2e69f65f7d4dbbd1:0xa8d96911b7c248b8!4m8!1m2!2m1!1sperusahaan+di+dekat+Blue+Green+Office+Tower+jakarta+barat!3m4!1s0x2e69f65f9c01ae27:0x4cd76a2ba246c629!8m2!3d-6.1764047!4d106.7918181"
PT Surya Jaya Lestari,"Business Park Kebon Jeruk Blok H6, Jalan Raya Meruya Ilir No. 88, RT.1/RW.5, Meruya Utara, Kembangan, RT.1/RW.5, Meruya Utara, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11620","Business Park Kebon Jeruk Blok H6, Jalan Raya Meruya Ilir No. 88, RT.1/RW.5, Meruya Utara, Kembangan, RT.1/RW.5, Meruya Utara, Kec. Kembangan",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11620,RQ26+PG,suryajayalestari.com,(021) 30067966,"-6.1982143, 106.7612566",Kantor Perusahaan,"Selasa 08.00–17.00,Rabu 08.00–17.00,Kamis 08.00–17.00,Jumat 08.00–17.00,Sabtu Tutup,Minggu Tutup,Senin 08.00–17.00. Sembunyikan jam buka untuk seminggu",Y,"4,6",5,,5,https://lh5.googleusercontent.com/p/AF1QipPCb31A9n-b83_YPfM0XsEHhyy8H9O5GrvUW8Lt=w408-h272-k-no,"https://www.google.com/maps/place/PT+Surya+Jaya+Lestari/@-6.2087449,106.7142637,11z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+Blue+Green+Office+Tower+jakarta+barat!3m4!1s0x2e69f7185c6fb159:0x19c50555ef506fa5!8m2!3d-6.1982143!4d106.7612566"
PT. ANDALAN MITRA KOMUNIKA (MEDIATRUSTPR),"Jl. Raya Pos Pengumben, Kebon Jeruk, Jakarta Barat, Apartemen Permata Eksekutif, Office Tower II, Lt. 2, RT.1/RW.6, Klp. Dua, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11550","Jl. Raya Pos Pengumben, Kebon Jeruk, Jakarta Barat, Apartemen Permata Eksekutif, Office Tower II, Lt. 2, RT.1/RW.6, Klp. Dua, Kec. Kb. Jeruk",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11550,QQM8+C4,mediatrustpr.com,(021) 53675807,"-6.216488, 106.765275",Kantor Perusahaan,"Selasa 05.30–17.00,Rabu 05.30–17.00,Kamis 05.30–17.00,Jumat 05.30–17.00,Sabtu Tutup,Minggu Tutup,Senin 05.30–17.00. Sembunyikan jam buka untuk seminggu",Y,"5,0",1,,6,https://lh5.googleusercontent.com/p/AF1QipNuIIQhFaj26YhygCyjOcCDQ1bcZjFwPL2_pZn5=w426-h240-k-no,"https://www.google.com/maps/place/PT.+ANDALAN+MITRA+KOMUNIKA+(MEDIATRUSTPR)/@-6.2087449,106.7142637,11z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+Blue+Green+Office+Tower+jakarta+barat!3m4!1s0x2e69f72b83c7fd89:0xf87c3f7c6a91350e!8m2!3d-6.216488!4d106.765275"
BPJS Kesehatan Cabang Jakarta Barat (Gedung Baru),"Jl. Raya Klp. Dua No.9, RT.1/RW.5, Klp. Dua, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11550","Jl. Raya Klp. Dua No.9, RT.1/RW.5, Klp. Dua, Kec. Kb. Jeruk",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11550,QQP9+9Q,bpjs-kesehatan.go.id,(021) 5322630,"-6.214065, 106.76943",Kantor Perusahaan,"Selasa 08.00–15.00,Rabu 08.00–15.00,Kamis 08.00–15.00,Jumat 08.00–15.00,Sabtu Tutup,Minggu Tutup,Senin 08.00–15.00. Sembunyikan jam buka untuk seminggu",N,"4,4",322,,166,https://lh5.googleusercontent.com/p/AF1QipMtXosZbo8YgLuAJJ6kW7wlsGafoQJ090Htex41=w408-h408-k-no,"https://www.google.com/maps/place/BPJS+Kesehatan+Cabang+Jakarta+Barat+(Gedung+Baru)/@-6.2087449,106.7142637,11z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+Blue+Green+Office+Tower+jakarta+barat!3m4!1s0x2e69f72a6f27857f:0x6209432325b63da2!8m2!3d-6.214065!4d106.76943"
