BusinessName,FullAddress,StreetAddress,City,State,Zip,PlusCode,Website,Phone,LatLong,Category,Hours,IsClaimed,Rating,ReviewCount,Amenities,NumberOfPhotos,ImageURL,URL
Ciputra International,"Jl. Lkr. Luar Barat No.101, Rw. Buaya, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11740","Jl. Lkr. Luar Barat No.101, Rw. Buaya, Kecamatan Cengkareng",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11740,RPGH+6H,ciputrainternational.com,(021) 22585050,"-6.1743911, 106.7288847",Developer Rumah Hunian Khusus,"Rabu 08.30–17.30,Kamis 08.30–17.30,Jumat 08.30–17.30,Sabtu 08.30–17.30,Minggu 08.30–17.30,Senin 08.30–17.30,Selasa 08.30–17.30. Sembunyikan jam buka untuk seminggu",N,"4,4",287,,1346,https://lh5.googleusercontent.com/p/AF1QipPNb8kI6k0KReT0u4Fn1Hz4FUhrx-tM-zhWwJ58=w408-h544-k-no,"https://www.google.com/maps/place/Ciputra+International/@-6.2086897,106.5741444,10z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+Ciputra+International+Puri+jakarta+barat!3m4!1s0x2e69f783ffdf5487:0xdc808159fbb53c1a!8m2!3d-6.1743911!4d106.7288847"
PT Mayora Indah Tbk,"Jalan Daan Mogot KM.18, RT.1/RW.8, Cengkareng, Kalideres, RT.1/RW.8, Kalideres, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11840","Jalan Daan Mogot KM.18, RT.1/RW.8, Cengkareng, Kalideres, RT.1/RW.8, Kalideres, Kec. Kalideres",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11840,RMRW+J2,mayoraindah.co.id,(021) 80637700,"-6.1584027, 106.6950682",Kantor Perusahaan,"Rabu 08.00–17.00,Kamis 08.00–17.00,Jumat 08.00–17.00,Sabtu Tutup,Minggu Tutup,Senin 08.00–17.00,Selasa 08.00–17.00. Sembunyikan jam buka untuk seminggu",Y,"4,5",1496,,692,https://lh5.googleusercontent.com/p/AF1QipOfmD9i8fekTw-DYGdOY6sd119DRDTkfDzoA7g=w408-h306-k-no,"https://www.google.com/maps/place/PT+Mayora+Indah+Tbk/@-6.2086897,106.5741444,10z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+Ciputra+International+Puri+jakarta+barat!3m4!1s0x2e69f86a19546dc9:0x8ad2f24f53a24247!8m2!3d-6.1584027!4d106.6950682"
FIF Group,"Ruko Mutiara Taman Palem Blok A2/1, Kamal Raya Outer Ring Road, Cengkareng, RT.7/RW.14, Cengkareng Tim., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730","Ruko Mutiara Taman Palem Blok A2/1, Kamal Raya Outer Ring Road, Cengkareng, RT.7/RW.14, Cengkareng Tim., Kecamatan Cengkareng",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11730,VP6J+C9,fifgroup.co.id,(021) 29405816,"-6.1389904, 106.7309305",Kantor Perusahaan,"Rabu 08.00–16.00,Kamis 08.00–16.00,Jumat 08.00–16.00,Sabtu 08.00–12.00,Minggu Tutup,Senin 08.00–16.00,Selasa 08.00–16.00. Sembunyikan jam buka untuk seminggu",N,"3,6",136,,10,https://lh5.googleusercontent.com/p/AF1QipOWvxM1hlI9GjN35zp7zYhBKtgCQrV3W4QtX0YU=w408-h725-k-no,"https://www.google.com/maps/place/FIF+Group/@-6.2086897,106.5741444,10z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+Ciputra+International+Puri+jakarta+barat!3m4!1s0x2e6a1d5636ceeb5d:0xc24f87a34dea94b2!8m2!3d-6.1389904!4d106.7309305"
Tokopedia Care Tower,"TOKOPEDIA CARE TOWER - Ground Floor Ciputra International, Jl. Lkr. Luar Barat No.101, RT.13, Rw. Buaya, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11740               Terletak di: Ciputra International","TOKOPEDIA CARE TOWER - Ground Floor Ciputra International, Jl. Lkr. Luar Barat No.101, RT.13, Rw. Buaya, Kecamatan Cengkareng",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11740               Terletak di: Ciputra International,RPGH+GF,tokopedia.com,,"-6.1736627, 106.7286946",Kantor Perusahaan,"Rabu 09.00–17.00,Kamis 09.00–17.00,Jumat 09.00–17.00,Sabtu 09.00–17.00,Minggu 09.00–17.00,Senin 09.00–17.00,Selasa 09.00–17.00. Sembunyikan jam buka untuk seminggu",N,"4,5",69,,73,https://lh5.googleusercontent.com/p/AF1QipOxePM6NuvE9Y2NPVSn4nfO76_ZVTZ1K0EsJReW=w408-h306-k-no,"https://www.google.com/maps/place/Tokopedia+Care+Tower/@-6.2086897,106.5741444,10z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+Ciputra+International+Puri+jakarta+barat!3m4!1s0x2e69f73879ba01a7:0x19ff04518acfcf15!8m2!3d-6.1736627!4d106.7286946"
Puri Indah Financial Tower,"Jl. Puri Lkr. Dalam Jl. Puri Indah Raya Blok T No.8, RT.1/RW.2, Kembangan Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610","Jl. Puri Lkr. Dalam Jl. Puri Indah Raya Blok T No.8, RT.1/RW.2, Kembangan Sel., Kec. Kembangan",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11610,RP6P+HJ,pift.co.id,(021) 29603999,"-6.1885582, 106.7365535",Kantor Perusahaan,"Rabu 08.30–22.00,Kamis 08.30–22.00,Jumat 08.30–22.00,Sabtu 08.30–22.00,Minggu 08.30–22.00,Senin 08.30–22.00,Selasa 08.30–22.00. Sembunyikan jam buka untuk seminggu",Y,"4,4",489,,460,https://lh5.googleusercontent.com/p/AF1QipMxOMZ1V8sanvNidGZ5ycPiUFCAyPHg8RGKwFni=w408-h612-k-no,"https://www.google.com/maps/place/Puri+Indah+Financial+Tower/@-6.2086897,106.5741444,10z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+Ciputra+International+Puri+jakarta+barat!3m4!1s0x2e69f770167bf84b:0x6b40d6f568c024fa!8m2!3d-6.1885582!4d106.7365535"
SS cengkareng barat ANTERAJA,"RT.8/RW.7, no, RT.4/RW.6, Tegal Alur, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11820","RT.8/RW.7, no, RT.4/RW.6, Tegal Alur, Kec. Kalideres",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11820,VPH9+XX,anteraja.id,,"-6.1200612, 106.7199331",Kantor Perusahaan,"Rabu 06.00–19.00,Kamis 06.00–19.00,Jumat 06.00–19.00,Sabtu 06.00–19.00,Minggu 06.00–19.00,Senin 06.00–19.00,Selasa 06.00–19.00. Sembunyikan jam buka untuk seminggu",N,"5,0",1,,3,https://lh5.googleusercontent.com/p/AF1QipOKzNVT2x5xgv5wSOOJepdpl321ap9Fbc2zh_es=w408-h725-k-no,"https://www.google.com/maps/place/SS+cengkareng+barat+ANTERAJA/@-6.2086897,106.5741444,10z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+Ciputra+International+Puri+jakarta+barat!3m4!1s0x2e6a03362e1eb293:0x236590930283dbc!8m2!3d-6.1200612!4d106.7199331"
PT Japfa Comfeed Indonesia Tbk,"Graha Praba Samantha, Jalan Daan Mogot Raya KM 12 No. 9, Cengkareng Timur, RT.12/RW.13, Cengkareng Tim., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730","Graha Praba Samantha, Jalan Daan Mogot Raya KM 12 No. 9, Cengkareng Timur, RT.12/RW.13, Cengkareng Tim., Kecamatan Cengkareng",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11730,RPWW+84,japfacomfeed.co.id,(021) 25617010,"-6.154134, 106.7453582",Kantor Perusahaan,"Rabu 08.00–17.00,Kamis 08.00–17.00,Jumat 08.00–17.00,Sabtu Tutup,Minggu Tutup,Senin 08.00–17.00,Selasa 08.00–17.00. Sembunyikan jam buka untuk seminggu",N,"4,7",132,,11,https://lh5.googleusercontent.com/p/AF1QipOCbd6Cv-aiBqJ52LwriDdTGRxNqnVnLz7s2lUw=w470-h240-k-no,"https://www.google.com/maps/place/PT+Japfa+Comfeed+Indonesia+Tbk/@-6.2086897,106.5741444,10z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+Ciputra+International+Puri+jakarta+barat!3m4!1s0x2e69f7ea1378ccb9:0x37aec7dca3421704!8m2!3d-6.154134!4d106.7453582"
pt indofood sukses makmur,"Jl. Daan Mogot No.92, Poris Gaga, Kec. Batuceper, Kota Tangerang, Banten 15122","Jl. Daan Mogot No.92, Poris Gaga, Kec. Batuceper",Kota Tangerang,Banten,15122,RMQM+R6,indofood.com,,"-6.1603792, 106.6830283",Kantor Perusahaan,"Rabu 07.00–21.00,Kamis 07.00–21.00,Jumat 07.00–21.00,Sabtu 07.00–21.00,Minggu Tutup,Senin 07.00–21.00,Selasa 07.00–21.00. Sembunyikan jam buka untuk seminggu",N,"4,6",35,,11,https://lh5.googleusercontent.com/p/AF1QipNTOayHVIFVgkOpPt9E2uci-Yh3BKZqxr40wOzG=w408-h816-k-no,"https://www.google.com/maps/place/pt+indofood+sukses+makmur/@-6.2086897,106.5741444,10z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+Ciputra+International+Puri+jakarta+barat!3m4!1s0x2e69f86759b50037:0x3cb775105f3661a4!8m2!3d-6.1603792!4d106.6830283"
Ruko Golf Lake,"RT.9/RW.14, Cengkareng Tim., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730","RT.9/RW.14, Cengkareng Tim., Kecamatan Cengkareng",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11730,VP9J+F6,,,"-6.131341, 106.730511",Kantor Perusahaan,,N,"4,0",5,,7,https://lh5.googleusercontent.com/p/AF1QipMa9HUOSBDyBMqWV7DrAaxdGK9VNg0EiXytSpzW=w408-h306-k-no,"https://www.google.com/maps/place/Ruko+Golf+Lake/@-6.2086897,106.5741444,10z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+Ciputra+International+Puri+jakarta+barat!3m4!1s0x2e6a1d5173e62ce9:0xf1fe521216e9ceb7!8m2!3d-6.131341!4d106.730511"
PT. Angkasa Pura Logistik Kantor Cabang Jakarta,"Ruko Taman Mahkota Blok A 2 No.27, Benda, Kota Tangerang, Banten 15125","Ruko Taman Mahkota Blok A 2 No.27, Benda",Kota Tangerang,Banten,15125,VMJQ+JF,aplog.co,(021) 54360922,"-6.1184153, 106.688736",Kantor Perusahaan,"Rabu 08.00–17.00,Kamis 08.00–17.00,Jumat 08.00–16.00,Sabtu Tutup,Minggu Tutup,Senin 08.00–17.00,Selasa 08.00–17.00. Sembunyikan jam buka untuk seminggu",Y,"5,0",4,,15,https://lh5.googleusercontent.com/p/AF1QipMts6YCP3jrXIX-p4mrXzefmbvMZpfzVprm2_g1=w408-h724-k-no,"https://www.google.com/maps/place/PT.+Angkasa+Pura+Logistik+Kantor+Cabang+Jakarta/@-6.2086897,106.5741444,10z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+Ciputra+International+Puri+jakarta+barat!3m4!1s0x2e6a02ed5cdfb985:0xf35fc0340feba241!8m2!3d-6.1184153!4d106.688736"
