BusinessName,FullAddress,StreetAddress,City,State,Zip,PlusCode,Website,Phone,LatLong,Category,Hours,IsClaimed,Rating,ReviewCount,Amenities,NumberOfPhotos,ImageURL,URL
PT Exa Mitra Solusi,"Rukan Graha Arteri Mas Kav. 62-63, Jalan Panjang No. 68, Jakarta Barat 11520, RT.19/RW.4, South Kedoya, Kebonjeruk, West Jakarta City, Jakarta 10220","Rukan Graha Arteri Mas Kav. 62-63, Jalan Panjang No. 68, Jakarta Barat 11520, RT.19/RW.4, South Kedoya, Kebonjeruk",West Jakarta City,Jakarta,10220,RQ89+44,examitrasolusi.co.id,(021) 5804700,"-6.18475, 106.767873",Kantor Perusahaan,"Rabu 08.30–17.30,Kamis 08.30–17.30,Jumat 08.30–17.30,Sabtu Tutup,Minggu Tutup,Senin 08.30–17.30,Selasa 08.30–17.30. Sembunyikan jam buka untuk seminggu",Y,"4,0",196,,25,https://lh5.googleusercontent.com/p/AF1QipPjm0h7CwpzZZhniMo-G6Do1LWYV7c-XQqCTU1Y=w408-h544-k-no,"https://www.google.com/maps/place/PT+Exa+Mitra+Solusi/@-6.2087449,106.7142637,11z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+graha+matapel+jakarta+barat!3m4!1s0x2e69f403268604cb:0xf7a160725618986d!8m2!3d-6.18475!4d106.767873"
Graha SM,"Jl. Panjang No.3, RT.11/RW.10, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530","Jl. Panjang No.3, RT.11/RW.10, Kb. Jeruk, Kec. Kb. Jeruk",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11530,RQ49+VF,,,"-6.1928112, 106.7687362",Kantor Perusahaan,,N,"4,7",19,,8,https://lh5.googleusercontent.com/p/AF1QipNUlc_9zG9wJjdH2F2DHtZfriZK9TjUpHK8l2-r=w408-h544-k-no,"https://www.google.com/maps/place/Graha+SM/@-6.2087449,106.7142637,11z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+graha+matapel+jakarta+barat!3m4!1s0x2e69f71dc4eb316f:0xf70c94c6e6ca1d1d!8m2!3d-6.1928112!4d106.7687362"
Dos Ni Roha,"Graha Eka Citta Jl. Budi Raya No. 9B Kemanggisan Palmerah RT.1, RT.1/RW.5, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530","Graha Eka Citta Jl. Budi Raya No. 9B Kemanggisan Palmerah RT.1, RT.1/RW.5, Kb. Jeruk, Kec. Kb. Jeruk",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11530,RQ5J+7Q,,(021) 5305600,"-6.191851, 106.7819809",Perusahaan Farmasi,,N,"4,3",11,,7,https://lh5.googleusercontent.com/p/AF1QipM7ShsG_1uVvkznw5pfs2dcxKedQWirOlS_fQbt=w408-h544-k-no,"https://www.google.com/maps/place/Dos+Ni+Roha/@-6.2087449,106.7142637,11z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+graha+matapel+jakarta+barat!3m4!1s0x2e69f6e5f335816b:0x8861722885a8b53c!8m2!3d-6.191851!4d106.7819809"
Gedung Sastra Graha,"Jl. Perjuangan No.126, RT.11/RW.10, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530","Jl. Perjuangan No.126, RT.11/RW.10, Kb. Jeruk, Kec. Kb. Jeruk",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11530,RQ58+P9,,(021) 5360655,"-6.190665, 106.765917",Kantor Perusahaan,,N,"4,2",154,,39,https://lh5.googleusercontent.com/p/AF1QipPJdv_3Uw7sv6og8JK2yNGGhevsdrFRXaMAB1W7=w408-h544-k-no,"https://www.google.com/maps/place/Gedung+Sastra+Graha/@-6.2087449,106.7142637,11z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+graha+matapel+jakarta+barat!3m4!1s0x2e69f71c8dd5d69f:0xe7281b8f636bc50!8m2!3d-6.190665!4d106.765917"
PT. Prisma Harapan,"Jl. Kedoya Duri No.38, RW.4, Kedoya Sel., Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11520","Jl. Kedoya Duri No.38, RW.4, Kedoya Sel., Kec. Kb. Jeruk",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11520,RQ88+GV,prisma-ads.com,(021) 58356575,"-6.1836312, 106.7671433",Kantor Perusahaan,"Rabu 08.30–17.30,Kamis 08.30–17.30,Jumat 08.30–17.30,Sabtu Tutup,Minggu Tutup,Senin 08.30–17.30,Selasa 08.30–17.30. Sembunyikan jam buka untuk seminggu",Y,"4,4",13,,16,https://lh5.googleusercontent.com/p/AF1QipOvD9yp2NnyqJZO1pTzr6GJ6UkfqugedV1Yziro=w408-h254-k-no,"https://www.google.com/maps/place/PT.+Prisma+Harapan/@-6.2087449,106.7142637,11z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+graha+matapel+jakarta+barat!3m4!1s0x2e69f703d6e8036b:0xc90d1bee18b0a728!8m2!3d-6.1836312!4d106.7671433"
PT. Rinnai Indonesia,"Komp. Ruko Sastra Graha Lt. 6, Jalan Perjuangan No.21, Kebon Jeruk, RT.11/RW.10, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530","Komp. Ruko Sastra Graha Lt. 6, Jalan Perjuangan No.21, Kebon Jeruk, RT.11/RW.10, Kb. Jeruk, Kec. Kb. Jeruk",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11530,RQ58+MC,rinnai.co.id,(021) 5331638,"-6.1907933, 106.7660013",Kantor Perusahaan,"Rabu 08.00–17.00,Kamis 08.00–17.00,Jumat 08.00–17.00,Sabtu Tutup,Minggu Tutup,Senin 08.00–17.00,Selasa 08.00–17.00. Sembunyikan jam buka untuk seminggu",N,"4,6",10,,0,https://maps.gstatic.com/tactile/pane/default_geocode-1x.png,"https://www.google.com/maps/place/PT.+Rinnai+Indonesia/@-6.2087449,106.7142637,11z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+graha+matapel+jakarta+barat!3m4!1s0x2e69f71c8b851b11:0x3cfbfe0b30545fab!8m2!3d-6.1907933!4d106.7660013"
MULTIKON,"Jl. Panjang No.55, RT.5/RW.10, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530","Jl. Panjang No.55, RT.5/RW.10, Kb. Jeruk, Kec. Kb. Jeruk",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11530,RQ39+M9,multikon.co.id,(021) 53650036,"-6.1958354, 106.768413",Perusahaan Konstruksi,,Y,"4,4",57,,36,https://lh5.googleusercontent.com/p/AF1QipNrgHuu09MFem3aJuAj2g3QsFJ3ciDCDKoetWVp=w408-h306-k-no,"https://www.google.com/maps/place/MULTIKON/@-6.2087449,106.7142637,11z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+graha+matapel+jakarta+barat!3m4!1s0x2e69f71e4c155bcf:0xdaeb58833b4cbd!8m2!3d-6.1958354!4d106.768413"
Graha Arteri Mas,"Jalan Panjang No. 68, RT. 19/4, Kebon Jeruk, RT.19/RW.4, Kedoya Sel., Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530","Jalan Panjang No. 68, RT. 19/4, Kebon Jeruk, RT.19/RW.4, Kedoya Sel., Kec. Kb. Jeruk",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11530,RQ89+44,,0818-420-928,"-6.184651, 106.7678605",Kantor Perusahaan,,N,"3,9",141,,16,https://lh5.googleusercontent.com/p/AF1QipNHiOPksoQ9pDTgsbrqvmMrS8JCDlrhS8fJIRyA=w408-h285-k-no,"https://www.google.com/maps/place/Graha+Arteri+Mas/@-6.2087449,106.7142637,11z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+graha+matapel+jakarta+barat!3m4!1s0x2e69f7024bcd2025:0x89b7af39ea43ea48!8m2!3d-6.184651!4d106.7678605"
Graha Pelitamaju,"Jalan Panjang Sunrise Garden Blok W No. 8, Kedoya Utara, Kebon Jeruk, RT.4/RW.5, Kedoya Utara, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11520","Jalan Panjang Sunrise Garden Blok W No. 8, Kedoya Utara, Kebon Jeruk, RT.4/RW.5, Kedoya Utara, Kec. Kb. Jeruk",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11520,RQG8+37,,(021) 58301888,"-6.1747586, 106.7657436",Kantor Perusahaan,"Rabu 09.00–17.00,Kamis 09.00–17.00,Jumat 09.00–17.00,Sabtu 09.00–17.00,Minggu Tutup,Senin 09.00–17.00,Selasa 09.00–17.00. Sembunyikan jam buka untuk seminggu",N,"4,4",48,,18,https://lh5.googleusercontent.com/p/AF1QipNf1KjEG9QKTGTEVYGWUm0FsDUl61A_CSpX6pLK=w408-h544-k-no,"https://www.google.com/maps/place/Graha+Pelitamaju/@-6.2087449,106.7142637,11z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+graha+matapel+jakarta+barat!3m4!1s0x2e69f7ac2891da1b:0x9befaa4acb8d0a93!8m2!3d-6.1747586!4d106.7657436"
Vivere Group,"Graha Vivere, Jalan Jend. S. Parman No.6, RT.1/RW.5, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480","Graha Vivere, Jalan Jend. S. Parman No.6, RT.1/RW.5, Palmerah, Kec. Palmerah",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11480,QQXX+CG,vivere.co.id,(021) 53651588,"-6.2014264, 106.7988292",Kantor Perusahaan,"Rabu 10.00–18.00,Kamis 10.00–18.00,Jumat 10.00–18.00,Sabtu Tutup,Minggu Tutup,Senin 10.00–18.00,Selasa 10.00–18.00. Sembunyikan jam buka untuk seminggu",N,"4,2",84,,24,https://lh5.googleusercontent.com/p/AF1QipNL02E0pfRd6aF-DsyPdnmvt8FYB4nk1RzMfMvm=w408-h544-k-no,"https://www.google.com/maps/place/Vivere+Group/@-6.2087449,106.7142637,11z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+graha+matapel+jakarta+barat!3m4!1s0x2e69f6beeacfd5a5:0x774a72dd1b14ee6c!8m2!3d-6.2014264!4d106.7988292"
