BusinessName,FullAddress,StreetAddress,City,State,Zip,PlusCode,Website,Phone,LatLong,Category,Hours,IsClaimed,Rating,ReviewCount,Amenities,NumberOfPhotos,ImageURL,URL
PT. Unitama Analitika Perkasa - Main Office,"Jl. Panjang No.37C, RT.7/RW.11, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530","Jl. Panjang No.37C, RT.7/RW.11, Kb. Jeruk, Kec. Kb. Jeruk",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11530,RQ49+JM,unitamaanalitika.com,(021) 53660641,"-6.1933831, 106.7691467",Kantor Perusahaan,"Selasa 08.00–17.00,Rabu 08.00–17.00,Kamis 08.00–17.00,Jumat 08.00–17.00,Sabtu Tutup,Minggu Tutup,Senin 08.00–17.00. Sembunyikan jam buka untuk seminggu",N,"3,9",7,,8,,"https://www.google.com/maps/place/PT.+Unitama+Analitika+Perkasa+-+Main+Office/@-6.1799432,106.7488424,14z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+jalan+panjang+jakarta+barat!3m4!1s0x2e69f720424d8945:0x16a60f5b9e904be4!8m2!3d-6.1933831!4d106.7691467"
PT Exa Mitra Solusi,"Rukan Graha Arteri Mas Kav. 62-63, Jalan Panjang No. 68, Jakarta Barat 11520, RT.19/RW.4, South Kedoya, Kebonjeruk, West Jakarta City, Jakarta 10220","Rukan Graha Arteri Mas Kav. 62-63, Jalan Panjang No. 68, Jakarta Barat 11520, RT.19/RW.4, South Kedoya, Kebonjeruk",West Jakarta City,Jakarta,10220,RQ89+44,examitrasolusi.co.id,(021) 5804700,"-6.18475, 106.767873",Kantor Perusahaan,"Selasa 08.30–17.30,Rabu 08.30–17.30,Kamis 08.30–17.30,Jumat 08.30–17.30,Sabtu Tutup,Minggu Tutup,Senin 08.30–17.30. Sembunyikan jam buka untuk seminggu",Y,"4,0",196,,25,https://lh5.googleusercontent.com/p/AF1QipPjm0h7CwpzZZhniMo-G6Do1LWYV7c-XQqCTU1Y=w408-h544-k-no,"https://www.google.com/maps/place/PT+Exa+Mitra+Solusi/@-6.1799432,106.7488424,14z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+jalan+panjang+jakarta+barat!3m4!1s0x2e69f403268604cb:0xf7a160725618986d!8m2!3d-6.18475!4d106.767873"
Graha SM,"Jl. Panjang No.3, RT.11/RW.10, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530","Jl. Panjang No.3, RT.11/RW.10, Kb. Jeruk, Kec. Kb. Jeruk",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11530,RQ49+VF,,,"-6.1928112, 106.7687362",Kantor Perusahaan,,N,"4,7",19,,8,https://lh5.googleusercontent.com/p/AF1QipNUlc_9zG9wJjdH2F2DHtZfriZK9TjUpHK8l2-r=w408-h544-k-no,"https://www.google.com/maps/place/Graha+SM/@-6.1799432,106.7488424,14z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+jalan+panjang+jakarta+barat!3m4!1s0x2e69f71dc4eb316f:0xf70c94c6e6ca1d1d!8m2!3d-6.1928112!4d106.7687362"
Graha Arteri Mas,"Jalan Panjang No. 68, RT. 19/4, Kebon Jeruk, RT.19/RW.4, Kedoya Sel., Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530","Jalan Panjang No. 68, RT. 19/4, Kebon Jeruk, RT.19/RW.4, Kedoya Sel., Kec. Kb. Jeruk",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11530,RQ89+44,,0818-420-928,,Kantor Perusahaan,,N,"3,9",141,,16,,"https://www.google.com/maps/place/Graha+Arteri+Mas,+Jalan+Panjang+No.+68,+RT.+19%2F4,+Kebon+Jeruk,+RT.19%2FRW.4,+Kedoya+Sel.,+Kec.+Kb.+Jeruk,+Kota+Jakarta+Barat,+Daerah+Khusus+Ibukota+Jakarta+11530/@-6.1799432,106.7488424,14z/data=!4m5!1m2!2m1!1sperusahaan+di+dekat+jalan+panjang+jakarta+barat!3m1!1s0x2e69f7024bcd2025:0x89b7af39ea43ea48"
Graha Pelitamaju,"Jalan Panjang Sunrise Garden Blok W No. 8, Kedoya Utara, Kebon Jeruk, RT.4/RW.5, Kedoya Utara, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11520","Jalan Panjang Sunrise Garden Blok W No. 8, Kedoya Utara, Kebon Jeruk, RT.4/RW.5, Kedoya Utara, Kec. Kb. Jeruk",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11520,RQG8+37,,(021) 58301888,,Kantor Perusahaan,"Selasa 09.00–17.00,Rabu 09.00–17.00,Kamis 09.00–17.00,Jumat 09.00–17.00,Sabtu 09.00–17.00,Minggu Tutup,Senin 09.00–17.00. Sembunyikan jam buka untuk seminggu",N,"4,4",48,,18,,"https://www.google.com/maps/place/Graha+Pelitamaju,+Jalan+Panjang+Sunrise+Garden+Blok+W+No.+8,+Kedoya+Utara,+Kebon+Jeruk,+RT.4%2FRW.5,+Kedoya+Utara,+Kec.+Kb.+Jeruk,+Kota+Jakarta+Barat,+Daerah+Khusus+Ibukota+Jakarta+11520/@-6.1799432,106.7488424,14z/data=!4m5!1m2!2m1!1sperusahaan+di+dekat+jalan+panjang+jakarta+barat!3m1!1s0x2e69f7ac2891da1b:0x9befaa4acb8d0a93"
PT.SINAR RODA UTAMA,"Jalan Panjang No.12, RT.6/RW.11, Kebon Jeruk, RT.1/RW.11, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530","Jalan Panjang No.12, RT.6/RW.11, Kebon Jeruk, RT.1/RW.11, Kb. Jeruk, Kec. Kb. Jeruk",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11530,RQ49+2M,,(021) 53665640,,Kantor Perusahaan,,N,"4,5",27,,396,,"https://www.google.com/maps/place/PT.SINAR+RODA+UTAMA,+Jalan+Panjang+No.12,+RT.6%2FRW.11,+Kebon+Jeruk,+RT.1%2FRW.11,+Kb.+Jeruk,+Kec.+Kb.+Jeruk,+Kota+Jakarta+Barat,+Daerah+Khusus+Ibukota+Jakarta+11530/@-6.1799432,106.7488424,14z/data=!4m5!1m2!2m1!1sperusahaan+di+dekat+jalan+panjang+jakarta+barat!3m1!1s0x2e69f71e6ab5f215:0x85c1bbcfff9ecb3b"
PT Merpati Mahardika,"No., Jl. Panjang Arteri Klp. Dua No.21, RT.12/RW.5, Kedoya Utara, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11520","No., Jl. Panjang Arteri Klp. Dua No.21, RT.12/RW.5, Kedoya Utara, Kec. Kb. Jeruk",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11520,RQG8+C6,mmnatures.com,(021) 58301239,"-6.1739067, 106.7655478",Perusahaan Farmasi,"Selasa 08.00–17.00,Rabu 08.00–17.00,Kamis 08.00–17.00,Jumat 08.00–17.00,Sabtu Tutup,Minggu Tutup,Senin 08.00–17.00. Sembunyikan jam buka untuk seminggu",N,"2,3",3,,0,https://geo2.ggpht.com/cbk?panoid=aIuFby4OCx3wdck5kE-ikg&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=408&h=240&yaw=246.88278&pitch=0&thumbfov=100,"https://www.google.com/maps/place/PT+Merpati+Mahardika/@-6.1799432,106.7488424,14z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+jalan+panjang+jakarta+barat!3m4!1s0x2e69f7abefef18c7:0x6c7eefac8b49f458!8m2!3d-6.1739067!4d106.7655478"
MULTIKON,"Jl. Panjang No.55, RT.5/RW.10, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530","Jl. Panjang No.55, RT.5/RW.10, Kb. Jeruk, Kec. Kb. Jeruk",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11530,RQ39+M9,multikon.co.id,(021) 53650036,,Perusahaan Konstruksi,,Y,"4,4",57,,36,,"https://www.google.com/maps/place/MULTIKON,+Jl.+Panjang+No.55,+RT.5%2FRW.10,+Kb.+Jeruk,+Kec.+Kb.+Jeruk,+Kota+Jakarta+Barat,+Daerah+Khusus+Ibukota+Jakarta+11530/@-6.1799432,106.7488424,14z/data=!4m5!1m2!2m1!1sperusahaan+di+dekat+jalan+panjang+jakarta+barat!3m1!1s0x2e69f71e4c155bcf:0xdaeb58833b4cbd"
Wisma Akr,"Jl. Panjang No.5, RT.11/RW.10, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530","Jl. Panjang No.5, RT.11/RW.10, Kb. Jeruk, Kec. Kb. Jeruk",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11530,RQ59+88,akr.co.id,,"-6.1916293, 106.7682663",Kantor Perusahaan,,Y,"4,5",135,,34,https://lh5.googleusercontent.com/p/AF1QipNDt6z0NoBhqbYGSIRW2BdV3TM0tzAyQPlq4j4G=w408-h306-k-no,"https://www.google.com/maps/place/Wisma+Akr/@-6.1799432,106.7488424,14z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+jalan+panjang+jakarta+barat!3m4!1s0x2e69f71dae3dae3b:0x90163e99a268110e!8m2!3d-6.1916293!4d106.7682663"
WIR Group,"Jl. Panjang No.70, RT.6/RW.11, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530","Jl. Panjang No.70, RT.6/RW.11, Kb. Jeruk, Kec. Kb. Jeruk",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11530,RQ49+PJ,wirglobal.com,(021) 53678064,"-6.1931953, 106.7690001",Perusahaan Software,"Selasa 08.30–17.30,Rabu 08.30–17.30,Kamis 08.30–17.30,Jumat 08.30–17.30,Sabtu Tutup,Minggu Tutup,Senin 08.30–17.30. Sembunyikan jam buka untuk seminggu",Y,"4,3",47,,29,https://lh5.googleusercontent.com/p/AF1QipPiUkT85SCsF-FbvH0OJf8zs-YCzwZZWW3Ueji3=w408-h544-k-no,"https://www.google.com/maps/place/WIR+Group/@-6.1799432,106.7488424,14z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+jalan+panjang+jakarta+barat!3m4!1s0x2e69f71de0b99805:0x196f3648b7610087!8m2!3d-6.1931953!4d106.7690001"
