BusinessName,FullAddress,StreetAddress,City,State,Zip,PlusCode,Website,Phone,LatLong,Category,Hours,IsClaimed,Rating,ReviewCount,Amenities,NumberOfPhotos,ImageURL,URL
PT. Luminov Global Indonesia,"Gedung Menara Citicon Lantai 19 Unit B, RT.4/RW.3, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410","Gedung Menara Citicon Lantai 19 Unit B, RT.4/RW.3, Slipi, Kec. Palmerah",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11410,RQ4X+W3,luminov.com,(021) 29339181,"-6.1926629, 106.7976679",Perusahaan Software,"Selasa 08.30–18.00,Rabu 08.30–18.00,Kamis 08.30–18.00,Jumat 08.30–18.00,Sabtu Tutup,Minggu Tutup,Senin 08.30–18.00. Sembunyikan jam buka untuk seminggu",N,"2,0",2,,0,https://geo1.ggpht.com/cbk?panoid=JR1BLdqUkuTyTiMP8gt1gA&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=408&h=240&yaw=82.69838&pitch=0&thumbfov=100,"https://www.google.com/maps/place/PT.+Luminov+Global+Indonesia/@-6.2087449,106.7142637,11z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+menara+citicon+jakarta+barat!3m4!1s0x2e69f6947896e9f3:0xdf3b16b105c16cae!8m2!3d-6.1926629!4d106.7976679"
Ricobana Abadi. PT,"Menara Citicon 9th Floor, JL. Letjen S. Parman, Kav. 72, 11410, RT.8/RW.4, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410","Menara Citicon 9th Floor, JL. Letjen S. Parman, Kav. 72, 11410, RT.8/RW.4, Slipi, Kec. Palmerah",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11410,RQ4X+V5,ricobana.co.id,(021) 29308800,"-6.1928563, 106.7978956",Perusahaan Pertambangan,"Selasa 08.00–17.00,Rabu 08.00–17.00,Kamis 08.00–17.00,Jumat 08.00–17.00,Sabtu Tutup,Minggu Tutup,Senin 08.00–17.00. Sembunyikan jam buka untuk seminggu",Y,"4,2",6,,12,https://lh5.googleusercontent.com/p/AF1QipNCJRAvY6QWM1BVK0-j7viohz2xrqjYLNA1abUK=w408-h317-k-no,"https://www.google.com/maps/place/Ricobana+Abadi.+PT/@-6.2087449,106.7142637,11z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+menara+citicon+jakarta+barat!3m4!1s0x2e69f6be187a14fb:0xaef2900e87ab4f93!8m2!3d-6.1928563!4d106.7978956"
PT. Central Asia Financial (JAGADIRI),"Citicon Tower 8th Floor Unit C, Jl. Letjend S. Parman Kav. 72, Slipi, Palmerah, RT.4/RW.3, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410               Terletak di: Menara Citicon","Citicon Tower 8th Floor Unit C, Jl. Letjend S. Parman Kav. 72, Slipi, Palmerah, RT.4/RW.3, Slipi, Kec. Palmerah",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11410               Terletak di: Menara Citicon,RQ4X+W4,jagadiri.co.id,1 500 660,"-6.1927257, 106.7977981",Perusahaan Asuransi,"Selasa 08.00–17.00,Rabu 08.00–17.00,Kamis 08.00–17.00,Jumat 08.00–17.00,Sabtu Tutup,Minggu Tutup,Senin 08.00–17.00. Sembunyikan jam buka untuk seminggu",N,"3,3",92,,3,https://geo1.ggpht.com/cbk?panoid=aIMysWf_r3iefvW_zKrTiQ&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=408&h=240&yaw=46.487778&pitch=0&thumbfov=100,"https://www.google.com/maps/place/PT.+Central+Asia+Financial+(JAGADIRI)/@-6.2087449,106.7142637,11z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+menara+citicon+jakarta+barat!3m4!1s0x2e69f6939788190f:0xd433ebd79a86606e!8m2!3d-6.1927257!4d106.7977981"
Wisma Sejahtera,"Jalan Letjen S. Parman Kav.75, Slipi, Palmerah, RT.4/RW.3, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480","Jalan Letjen S. Parman Kav.75, Slipi, Palmerah, RT.4/RW.3, Slipi, Kec. Palmerah",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11480,RQ5X+F3,bit.ly,0813-1693-2984,"-6.1913719, 106.797734",Kantor Perusahaan,"Selasa 08.00–17.00,Rabu 08.00–17.00,Kamis 08.00–17.00,Jumat 08.00–17.00,Sabtu 08.00–17.00,Minggu Tutup,Senin 08.00–17.00. Sembunyikan jam buka untuk seminggu",N,"4,3",394,,307,https://lh5.googleusercontent.com/p/AF1QipOEQ9bMxo_t_WvKkQrxDmnyTG59kmlVKD68R0WC=w408-h306-k-no,"https://www.google.com/maps/place/Wisma+Sejahtera/@-6.2087449,106.7142637,11z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+menara+citicon+jakarta+barat!3m4!1s0x2e69f69398f83219:0xdb9acea8a2c9e5e5!8m2!3d-6.1913719!4d106.797734"
Wacker Chemicals SA Pte. Ltd,"Menara Citicon, Jl. Letjen S. Parman No.Kav. 72, RT.4/RW.3, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410","Menara Citicon, Jl. Letjen S. Parman No.Kav. 72, RT.4/RW.3, Slipi, Kec. Palmerah",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11410,RQ4X+W2,m.wacker.com,(021) 29532988,"-6.192737, 106.797547",,,N,,,,0,https://geo1.ggpht.com/cbk?panoid=JR1BLdqUkuTyTiMP8gt1gA&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=408&h=240&yaw=104.909195&pitch=0&thumbfov=100,"https://www.google.com/maps/place/Wacker+Chemicals+SA+Pte.+Ltd/@-6.2087449,106.7142637,11z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+menara+citicon+jakarta+barat!3m4!1s0x2e69f6947f2d9e17:0x8734f34076f92909!8m2!3d-6.192737!4d106.797547"
Pengelola Gedung Wisma 77,"Jalan Letjen S Parman Kav. 77, Slipi, Palmerah, RT.6/RW.3, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410","Jalan Letjen S Parman Kav. 77, Slipi, Palmerah, RT.6/RW.3, Slipi, Kec. Palmerah",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11410,RQ5X+WF,,(021) 5362963,"-6.1901543, 106.7986657",Kantor Perusahaan,"Selasa 09.00–17.00,Rabu 09.00–17.00,Kamis 09.00–17.00,Jumat 09.00–17.00,Sabtu Tutup,Minggu Tutup,Senin 09.00–17.00. Sembunyikan jam buka untuk seminggu",Y,"4,2",517,,148,https://lh5.googleusercontent.com/p/AF1QipNC7U4AGAfau0zmWB4C3vFrDjtkJu2ReRyK-Oay=w408-h725-k-no,"https://www.google.com/maps/place/Pengelola+Gedung+Wisma+77/@-6.2087449,106.7142637,11z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+menara+citicon+jakarta+barat!3m4!1s0x2e69f693b28f9079:0xc3c0168d330d3809!8m2!3d-6.1901543!4d106.7986657"
PT. Ricobana Abadi,"Menara Citicon 9th floor, Slipi, Jakarta Barat, RT.2/RW.2, Slipi, Jakarta, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410","Menara Citicon 9th floor, Slipi, Jakarta Barat, RT.2/RW.2, Slipi, Jakarta",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11410,RR42+FJ,ricobana.co.id,(021) 29308800,"-6.193758, 106.801614",Perusahaan Pertambangan,"Selasa 08.00–17.00,Rabu 08.00–17.00,Kamis 08.00–17.00,Jumat 08.00–17.00,Sabtu Tutup,Minggu Tutup,Senin 08.00–17.00. Sembunyikan jam buka untuk seminggu",Y,"5,0",1,,13,https://lh5.googleusercontent.com/p/AF1QipNh4R28W-XY2Afi7QTTMp2S00qTxz17aNPMzpQ=w450-h240-k-no,"https://www.google.com/maps/place/PT.+Ricobana+Abadi/@-6.2087449,106.7142637,11z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+menara+citicon+jakarta+barat!3m4!1s0x2e69f696bfffffbd:0x6347fc1d69f8f848!8m2!3d-6.193758!4d106.801614"
Wisma 77 Tower 2,"Jalan Letjen S. Parman No.Kav 77 6 3, RT.6/RW.3, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410","Jalan Letjen S. Parman No.Kav 77 6 3, RT.6/RW.3, Slipi, Kec. Palmerah",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11410,RQ6X+3G,,,"-6.189811, 106.7987783",Kantor Perusahaan,"Selasa Buka 24 jam,Rabu Buka 24 jam,Kamis Buka 24 jam,Jumat Buka 24 jam,Sabtu Buka 24 jam,Minggu Buka 24 jam,Senin Buka 24 jam. Sembunyikan jam buka untuk seminggu",N,"4,5",843,,533,https://lh5.googleusercontent.com/p/AF1QipMtECbaiQ1zY5osHeOI77X6_NhVv6n4vsot4hwx=w408-h725-k-no,"https://www.google.com/maps/place/Wisma+77+Tower+2/@-6.2087449,106.7142637,11z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+menara+citicon+jakarta+barat!3m4!1s0x2e69f69235e71823:0xea1b1f92110c0548!8m2!3d-6.189811!4d106.7987783"
Wisma Slipi,"Jl. Letjen S. Parman No.Kav. 12, RT.12/RW.1, Kemanggisan, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480","Jl. Letjen S. Parman No.Kav. 12, RT.12/RW.1, Kemanggisan, Kec. Palmerah",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11480,RQ7W+6H,,(021) 5483658,"-6.1869812, 106.7963914",Kantor Perusahaan,"Selasa 07.30–21.00,Rabu 07.30–21.00,Kamis 07.30–21.00,Jumat 07.30–21.00,Sabtu 07.30–21.00,Minggu 07.30–21.00,Senin 07.30–21.00. Sembunyikan jam buka untuk seminggu",N,"4,2",612,,429,https://lh5.googleusercontent.com/p/AF1QipNagdL54QpSnAt7DrYcsC6nbzprS9_aP2jEKuVH=w408-h672-k-no,"https://www.google.com/maps/place/Wisma+Slipi/@-6.2087449,106.7142637,11z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+menara+citicon+jakarta+barat!3m4!1s0x2e69f644afa41e65:0x7f6951fc5b713984!8m2!3d-6.1869812!4d106.7963914"
CV.PRIMASARI,"CITICON, Jl. Letjen S. Parman No.72, RT.4/RW.3, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410","CITICON, Jl. Letjen S. Parman No.72, RT.4/RW.3, Slipi, Kec. Palmerah",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11410,RQ4X+W5,,,"-6.1926886, 106.7979025",Kantor Perusahaan,,N,"5,0",1,,0,https://geo1.ggpht.com/cbk?panoid=aIMysWf_r3iefvW_zKrTiQ&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=408&h=240&yaw=50.492317&pitch=0&thumbfov=100,"https://www.google.com/maps/place/CV.PRIMASARI/@-6.2087449,106.7142637,11z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+menara+citicon+jakarta+barat!3m4!1s0x2e69f731fca18f79:0xa0de09ca248ce850!8m2!3d-6.1926886!4d106.7979025"
