BusinessName,FullAddress,StreetAddress,City,State,Zip,PlusCode,Website,Phone,LatLong,Category,Hours,IsClaimed,Rating,ReviewCount,Amenities,NumberOfPhotos,ImageURL,URL
Wisma 77 Tower 2,"Jalan Letjen S. Parman No.Kav 77 6 3, RT.6/RW.3, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410","Jalan Letjen S. Parman No.Kav 77 6 3, RT.6/RW.3, Slipi, Kec. Palmerah",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11410,RQ6X+3G,,,"-6.189811, 106.7987783",Kantor Perusahaan,"Selasa Buka 24 jam,Rabu Buka 24 jam,Kamis Buka 24 jam,Jumat Buka 24 jam,Sabtu Buka 24 jam,Minggu Buka 24 jam,Senin Buka 24 jam. Sembunyikan jam buka untuk seminggu",N,"4,5",843,,533,,"https://www.google.com/maps/place/Wisma+77+Tower+2/@-6.189811,106.7900236,15z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+wisma+77+jakarta+barat!3m4!1s0x2e69f69235e71823:0xea1b1f92110c0548!8m2!3d-6.189811!4d106.7987783"
Pengelola Gedung Wisma 77,"Jalan Letjen S Parman Kav. 77, Slipi, Palmerah, RT.6/RW.3, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410","Jalan Letjen S Parman Kav. 77, Slipi, Palmerah, RT.6/RW.3, Slipi, Kec. Palmerah",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11410,RQ5X+WF,,(021) 5362963,"-6.1901543, 106.7986657",Kantor Perusahaan,"Selasa 09.00–17.00,Rabu 09.00–17.00,Kamis 09.00–17.00,Jumat 09.00–17.00,Sabtu Tutup,Minggu Tutup,Senin 09.00–17.00. Sembunyikan jam buka untuk seminggu",Y,"4,2",517,,148,,"https://www.google.com/maps/place/Pengelola+Gedung+Wisma+77/@-6.189811,106.7900236,15z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+wisma+77+jakarta+barat!3m4!1s0x2e69f693b28f9079:0xc3c0168d330d3809!8m2!3d-6.1901543!4d106.7986657"
PT. PEGASUS MITRA ABADI,"Wisma 77 Tower 2, Lt. 3, Kav., Jl. Letjen S. Parman No.77, RT.6/RW.3, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410","Wisma 77 Tower 2, Lt. 3, Kav., Jl. Letjen S. Parman No.77, RT.6/RW.3, Slipi, Kec. Palmerah",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11410,RQ5X+R3,pt-pma.com,(021) 5363058,"-6.1904296, 106.7977283",Kantor Perusahaan,"Selasa 08.00–17.00,Rabu 08.00–17.00,Kamis 08.00–17.00,Jumat 08.00–17.00,Sabtu 08.00–14.00,Minggu Tutup,Senin 08.00–17.00. Sembunyikan jam buka untuk seminggu",N,"4,0",2,,0,https://maps.gstatic.com/tactile/pane/default_geocode-1x.png,"https://www.google.com/maps/place/PT.+PEGASUS+MITRA+ABADI/@-6.1903221,106.7959886,17z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+wisma+77+jakarta+barat!3m4!1s0x2e69f693ae896e47:0xe073bfe7d57b3834!8m2!3d-6.1904296!4d106.7977283"
PT. Multi Structure,"Wisma 76, 20th Floor, Jalan Letjend. S.Parman, Kav. 76, RT.6/RW.3, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410","Wisma 76, 20th Floor, Jalan Letjend. S.Parman, Kav. 76, RT.6/RW.3, Slipi, Kec. Palmerah",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11410,RQ5X+R3,,(021) 53666699,"-6.1904499, 106.7977142",Kantor Perusahaan,"Selasa 08.00–17.00,Rabu 08.00–17.00,Kamis 08.00–17.00,Jumat 08.00–17.00,Sabtu 08.00–12.00,Minggu Tutup,Senin 08.00–17.00. Sembunyikan jam buka untuk seminggu",N,"4,1",16,,13,https://lh5.googleusercontent.com/p/AF1QipOMNfpKpEzaYK8NvOKXCXwYLyCXUGlYdayZKCpe=w408-h272-k-no,"https://www.google.com/maps/place/PT.+Multi+Structure/@-6.1903221,106.7959886,17z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+wisma+77+jakarta+barat!3m4!1s0x2e69f68cfd5999af:0x1a92e0134335742d!8m2!3d-6.1904499!4d106.7977142"
PT. White Horse Ceramic Indonesia,"Wisma 77, 19th Floor Kav. 77, Jalan Letjen. S. Parman, Slipi, RT.6/RW.3, Slipi, Jakarta Barat, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410","Wisma 77, 19th Floor Kav. 77, Jalan Letjen. S. Parman, Slipi, RT.6/RW.3, Slipi, Jakarta Barat",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11410,RQ5X+R4,,(021) 53660301,"-6.190392, 106.797805",,"Selasa 08.00–17.00,Rabu 08.00–17.00,Kamis 08.00–17.00,Jumat 08.00–17.00,Sabtu Tutup,Minggu Tutup,Senin 08.00–17.00. Sembunyikan jam buka untuk seminggu",Y,,,,38,https://lh5.googleusercontent.com/p/AF1QipNuHNNZJNJZv8kQN2YkPTdQbFK_F9bly9LMjgi8=w408-h306-k-no,"https://www.google.com/maps/place/PT.+White+Horse+Ceramic+Indonesia/@-6.1903221,106.7959886,17z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+wisma+77+jakarta+barat!3m4!1s0x2e69f693ae71314d:0xb7bf6334d3f7684b!8m2!3d-6.190392!4d106.797805"
PT Emerson Solutions Indonesia,"Wisma 77, Letjen S. Parman St No.Kav. 77, RT.6/RW.3, Slipi, Palmerah, West Jakarta City, Jakarta 11410","Wisma 77, Letjen S. Parman St No.Kav. 77, RT.6/RW.3, Slipi, Palmerah",West Jakarta City,Jakarta,11410,RQ5X+R3,,,"-6.19045, 106.7977142",,,N,,,,0,https://geo2.ggpht.com/cbk?panoid=eyJu_C71_g-tN3yb_O-46A&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=408&h=240&yaw=87.87056&pitch=0&thumbfov=100,"https://www.google.com/maps/place/PT+Emerson+Solutions+Indonesia/@-6.1903221,106.7959886,17z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+wisma+77+jakarta+barat!3m4!1s0x2e69f693ae8cc761:0xdc2d5a2079d40ec5!8m2!3d-6.19045!4d106.7977142"
PT. Lifung Indonesia,"Gedung Wisma 76 Lantai 2, Jl. Letjen S Parman Kav. 76, RT.4/RW.3, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 12950","Gedung Wisma 76 Lantai 2, Jl. Letjen S Parman Kav. 76, RT.4/RW.3, Slipi, Kec. Palmerah",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,12950,RQ5X+J6,lifung.com,(021) 25678888,"-6.1909975, 106.798018",Perusahaan Ekspor-Impor,"Selasa 08.30–17.30,Rabu 08.30–17.30,Kamis 08.30–17.30,Jumat 08.30–17.30,Sabtu Tutup,Minggu Tutup,Senin 08.30–17.30. Sembunyikan jam buka untuk seminggu",N,"4,3",12,,110,https://lh5.googleusercontent.com/p/AF1QipNP742ZjKUiEpKYVAo3xeMEjV0DBblBPDLp2hAT=w426-h240-k-no,"https://www.google.com/maps/place/PT.+Lifung+Indonesia/@-6.1903221,106.7959886,17z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+wisma+77+jakarta+barat!3m4!1s0x2e69f6925eb742af:0x2c89c29522d687f5!8m2!3d-6.1909975!4d106.798018"
Merah Cipta Media HeadQuarter,"Wisma 77 Tower 2, Level 3 Jl. Letjen. S. Parman No.77, Palmerah, Kota Jkt Bar., Daerah Khusus Ibukota Jkt, RT.6/RW.3, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410","Wisma 77 Tower 2, Level 3 Jl. Letjen. S. Parman No.77, Palmerah, Kota Jkt Bar., Daerah Khusus Ibukota Jkt, RT.6/RW.3, Slipi, Kec. Palmerah",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11410,RQ6X+2F,merahciptamedia.co.id,(021) 29675858,"-6.1899203, 106.7987368",Perusahaan Media,"Selasa 09.00–18.00,Rabu 09.00–18.00,Kamis 09.00–18.00,Jumat 09.00–18.00,Sabtu Tutup,Minggu Tutup,Senin 09.00–18.00. Sembunyikan jam buka untuk seminggu",N,"4,9",7,,8,https://lh5.googleusercontent.com/p/AF1QipOtsBEDXDDGdxEQWGfibuicHzBZbZRejcg5tnJo=w408-h761-k-no,"https://www.google.com/maps/place/Merah+Cipta+Media+HeadQuarter/@-6.1903221,106.7959886,17z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+wisma+77+jakarta+barat!3m4!1s0x2e69f692356c05ff:0xb3697f1b4c809413!8m2!3d-6.1899203!4d106.7987368"
Airyrooms,"Wisma 77 Tower 2, Jalan Letjen. S. Parman No. 77, Palmerah, RT.4/RW.3, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410","Wisma 77 Tower 2, Jalan Letjen. S. Parman No. 77, Palmerah, RT.4/RW.3, Slipi, Kec. Palmerah",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11410,RQ5X+M2,airyrooms.com,0804 111 2479,"-6.1908697, 106.7975762",Kantor Perusahaan,"Selasa 09.00–21.00,Rabu 09.00–21.00,Kamis 09.00–21.00,Jumat 09.00–21.00,Sabtu 09.00–21.00,Minggu 09.00–21.00,Senin 09.00–21.00. Sembunyikan jam buka untuk seminggu",N,"4,5",10,,0,https://geo1.ggpht.com/cbk?panoid=Jh-NDeSrNI4fuPtILE9loQ&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=408&h=240&yaw=90.66784&pitch=0&thumbfov=100,"https://www.google.com/maps/place/Airyrooms/@-6.1903221,106.7959886,17z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+wisma+77+jakarta+barat!3m4!1s0x2e69f693a42b97db:0x212ea5da49ad8a82!8m2!3d-6.1908697!4d106.7975762"
Johnson Controls Hitachi Air Conditioning Indonesia,"Wisma 77, Jl. Letjen S. Parman, RT.6/RW.3, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410","Wisma 77, Jl. Letjen S. Parman, RT.6/RW.3, Slipi, Kec. Palmerah",Kota Jakarta Barat,Daerah Khusus Ibukota Jakarta,11410,RQ5X+R3,,,"-6.19045, 106.7977142",,"Selasa 08.30–17.30,Rabu 08.30–17.30,Kamis 08.30–17.30,Jumat 08.30–17.30,Sabtu Tutup,Minggu Tutup,Senin 08.30–17.30. Sembunyikan jam buka untuk seminggu",N,,,,0,https://geo2.ggpht.com/cbk?panoid=eyJu_C71_g-tN3yb_O-46A&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=408&h=240&yaw=87.87056&pitch=0&thumbfov=100,"https://www.google.com/maps/place/Johnson+Controls+Hitachi+Air+Conditioning+Indonesia/@-6.1903221,106.7959886,17z/data=!4m8!1m2!2m1!1sperusahaan+di+dekat+wisma+77+jakarta+barat!3m4!1s0x2e69f7f88b5f2ba7:0xb315f965f1674246!8m2!3d-6.19045!4d106.7977142"
